drone_class,experiment_id,receiver,segment_id,relative_path,file_size_bytes,file_size_mb,is_valid_path
AR Drone,Unknown,Unknown,11,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10101_L/10101L_11.csv,95463728,91.04,True
AR Drone,Unknown,Unknown,11,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10110_H/10110H_11.csv,94205248,89.84,True
AR Drone,Unknown,Unknown,11,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10100_H/10100H_11.csv,94291718,89.92,True
AR Drone,Unknown,Unknown,11,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10111_H/10111H_11.csv,94351864,89.98,True
AR Drone,Unknown,Unknown,11,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10101_H/10101H_11.csv,94293064,89.92,True
AR Drone,Unknown,Unknown,11,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10110_L/10110L_11.csv,95370969,90.95,True
AR Drone,Unknown,Unknown,11,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10100_L/10100L_11.csv,95486279,91.06,True
AR Drone,Unknown,Unknown,12,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10111_L/10111L_12.csv,97173025,92.67,True
AR Drone,Unknown,Unknown,12,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10101_L/10101L_12.csv,95598732,91.17,True
AR Drone,Unknown,Unknown,12,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10110_H/10110H_12.csv,94197049,89.83,True
AR Drone,Unknown,Unknown,12,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10100_H/10100H_12.csv,94311262,89.94,True
AR Drone,Unknown,Unknown,12,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10111_H/10111H_12.csv,94305109,89.94,True
AR Drone,Unknown,Unknown,12,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10101_H/10101H_12.csv,94311635,89.94,True
AR Drone,Unknown,Unknown,12,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10110_L/10110L_12.csv,95681212,91.25,True
AR Drone,Unknown,Unknown,12,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10100_L/10100L_12.csv,96192534,91.74,True
AR Drone,Unknown,Unknown,13,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10111_L/10111L_13.csv,96576318,92.1,True
AR Drone,Unknown,Unknown,13,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10101_L/10101L_13.csv,95236176,90.82,True
AR Drone,Unknown,Unknown,13,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10110_H/10110H_13.csv,94275058,89.91,True
AR Drone,Unknown,Unknown,13,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10100_H/10100H_13.csv,94358109,89.99,True
AR Drone,Unknown,Unknown,13,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10111_H/10111H_13.csv,94307357,89.94,True
AR Drone,Unknown,Unknown,13,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10101_H/10101H_13.csv,94371315,90.0,True
AR Drone,Unknown,Unknown,13,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10110_L/10110L_13.csv,95245568,90.83,True
AR Drone,Unknown,Unknown,13,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10100_L/10100L_13.csv,95451822,91.03,True
AR Drone,Unknown,Unknown,14,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10111_L/10111L_14.csv,96366316,91.9,True
AR Drone,Unknown,Unknown,14,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10101_L/10101L_14.csv,95571043,91.14,True
AR Drone,Unknown,Unknown,14,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10110_H/10110H_14.csv,94322570,89.95,True
AR Drone,Unknown,Unknown,14,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10100_H/10100H_14.csv,94296367,89.93,True
AR Drone,Unknown,Unknown,14,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10111_H/10111H_14.csv,94285515,89.92,True
AR Drone,Unknown,Unknown,14,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10101_H/10101H_14.csv,94298810,89.93,True
AR Drone,Unknown,Unknown,14,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10110_L/10110L_14.csv,95442272,91.02,True
AR Drone,Unknown,Unknown,14,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10100_L/10100L_14.csv,95671870,91.24,True
AR Drone,Unknown,Unknown,15,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10111_L/10111L_15.csv,95979710,91.53,True
AR Drone,Unknown,Unknown,15,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10101_L/10101L_15.csv,95034847,90.63,True
AR Drone,Unknown,Unknown,15,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10110_H/10110H_15.csv,94229831,89.86,True
AR Drone,Unknown,Unknown,15,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10100_H/10100H_15.csv,94256881,89.89,True
AR Drone,Unknown,Unknown,15,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10111_H/10111H_15.csv,94318473,89.95,True
AR Drone,Unknown,Unknown,15,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10101_H/10101H_15.csv,94271144,89.9,True
AR Drone,Unknown,Unknown,15,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10110_L/10110L_15.csv,95577788,91.15,True
AR Drone,Unknown,Unknown,15,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10100_L/10100L_15.csv,95207267,90.8,True
AR Drone,Unknown,Unknown,16,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10111_L/10111L_16.csv,96498565,92.03,True
AR Drone,Unknown,Unknown,16,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10101_L/10101L_16.csv,95413693,90.99,True
AR Drone,Unknown,Unknown,16,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10110_H/10110H_16.csv,94271435,89.9,True
AR Drone,Unknown,Unknown,16,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10100_H/10100H_16.csv,94301058,89.93,True
AR Drone,Unknown,Unknown,16,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10111_H/10111H_16.csv,94324897,89.96,True
AR Drone,Unknown,Unknown,16,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10101_H/10101H_16.csv,94223291,89.86,True
AR Drone,Unknown,Unknown,16,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10110_L/10110L_16.csv,95764382,91.33,True
AR Drone,Unknown,Unknown,16,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10100_L/10100L_16.csv,95398386,90.98,True
AR Drone,Unknown,Unknown,17,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10111_L/10111L_17.csv,96350404,91.89,True
AR Drone,Unknown,Unknown,17,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10101_L/10101L_17.csv,96262806,91.8,True
AR Drone,Unknown,Unknown,17,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10110_H/10110H_17.csv,94271750,89.9,True
AR Drone,Unknown,Unknown,17,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10100_H/10100H_17.csv,94329776,89.96,True
AR Drone,Unknown,Unknown,17,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10111_H/10111H_17.csv,94280994,89.91,True
AR Drone,Unknown,Unknown,17,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10101_H/10101H_17.csv,94335874,89.97,True
AR Drone,Unknown,Unknown,17,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10110_L/10110L_17.csv,95557195,91.13,True
AR Drone,Unknown,Unknown,17,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10100_L/10100L_17.csv,96341673,91.88,True
AR Drone,Unknown,Unknown,18,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10101_L/10101L_18.csv,95323350,90.91,True
AR Drone,Unknown,Unknown,18,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10110_H/10110H_18.csv,94284685,89.92,True
AR Drone,Unknown,Unknown,18,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10100_H/10100H_18.csv,94313536,89.94,True
AR Drone,Unknown,Unknown,18,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10101_H/10101H_18.csv,94336833,89.97,True
AR Drone,Unknown,Unknown,18,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10110_L/10110L_18.csv,95351817,90.93,True
AR Drone,Unknown,Unknown,18,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10100_L/10100L_18.csv,95572393,91.14,True
AR Drone,Unknown,Unknown,19,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10101_L/10101L_19.csv,95362952,90.95,True
AR Drone,Unknown,Unknown,19,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10110_H/10110H_19.csv,94340840,89.97,True
AR Drone,Unknown,Unknown,19,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10100_H/10100H_19.csv,94290738,89.92,True
AR Drone,Unknown,Unknown,19,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10101_H/10101H_19.csv,94299387,89.93,True
AR Drone,Unknown,Unknown,19,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10110_L/10110L_19.csv,95339214,90.92,True
AR Drone,Unknown,Unknown,19,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10100_L/10100L_19.csv,95475767,91.05,True
AR Drone,Unknown,Unknown,2,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10111_L/10111L_2.csv,103859358,99.05,True
AR Drone,Unknown,Unknown,2,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10101_L/10101L_2.csv,95017254,90.62,True
AR Drone,Unknown,Unknown,2,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10110_H/10110H_2.csv,94279805,89.91,True
AR Drone,Unknown,Unknown,2,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10100_H/10100H_2.csv,94287036,89.92,True
AR Drone,Unknown,Unknown,2,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10111_H/10111H_2.csv,94379723,90.01,True
AR Drone,Unknown,Unknown,2,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10101_H/10101H_2.csv,94295757,89.93,True
AR Drone,Unknown,Unknown,2,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10110_L/10110L_2.csv,95442724,91.02,True
AR Drone,Unknown,Unknown,2,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10100_L/10100L_2.csv,99373571,94.77,True
AR Drone,Unknown,Unknown,20,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10101_L/10101L_20.csv,95728007,91.29,True
AR Drone,Unknown,Unknown,20,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10110_H/10110H_20.csv,94278199,89.91,True
AR Drone,Unknown,Unknown,20,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10100_H/10100H_20.csv,94311957,89.94,True
AR Drone,Unknown,Unknown,20,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10101_H/10101H_20.csv,94294607,89.93,True
AR Drone,Unknown,Unknown,20,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10110_L/10110L_20.csv,95843808,91.4,True
AR Drone,Unknown,Unknown,20,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10100_L/10100L_20.csv,95645122,91.21,True
AR Drone,Unknown,Unknown,3,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10111_L/10111L_3.csv,103696891,98.89,True
AR Drone,Unknown,Unknown,3,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10101_L/10101L_3.csv,95918644,91.48,True
AR Drone,Unknown,Unknown,3,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10110_H/10110H_3.csv,94278328,89.91,True
AR Drone,Unknown,Unknown,3,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10100_H/10100H_3.csv,94306864,89.94,True
AR Drone,Unknown,Unknown,3,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10111_H/10111H_3.csv,94309649,89.94,True
AR Drone,Unknown,Unknown,3,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10101_H/10101H_3.csv,94292676,89.92,True
AR Drone,Unknown,Unknown,3,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10110_L/10110L_3.csv,95464696,91.04,True
AR Drone,Unknown,Unknown,3,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10100_L/10100L_3.csv,97117841,92.62,True
AR Drone,Unknown,Unknown,4,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10111_L/10111L_4.csv,109466615,104.4,True
AR Drone,Unknown,Unknown,4,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10101_L/10101L_4.csv,95197933,90.79,True
AR Drone,Unknown,Unknown,4,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10110_H/10110H_4.csv,94282002,89.91,True
AR Drone,Unknown,Unknown,4,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10100_H/10100H_4.csv,94347547,89.98,True
AR Drone,Unknown,Unknown,4,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10111_H/10111H_4.csv,94271769,89.9,True
AR Drone,Unknown,Unknown,4,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10101_H/10101H_4.csv,94286478,89.92,True
AR Drone,Unknown,Unknown,4,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10110_L/10110L_4.csv,95517055,91.09,True
AR Drone,Unknown,Unknown,4,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10100_L/10100L_4.csv,102590249,97.84,True
AR Drone,Unknown,Unknown,5,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10111_L/10111L_5.csv,100134314,95.5,True
AR Drone,Unknown,Unknown,5,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10101_L/10101L_5.csv,95099856,90.69,True
AR Drone,Unknown,Unknown,5,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10110_H/10110H_5.csv,94328947,89.96,True
AR Drone,Unknown,Unknown,5,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10100_H/10100H_5.csv,94323693,89.95,True
AR Drone,Unknown,Unknown,5,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10111_H/10111H_5.csv,94234470,89.87,True
AR Drone,Unknown,Unknown,5,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10101_H/10101H_5.csv,94283864,89.92,True
AR Drone,Unknown,Unknown,5,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10110_L/10110L_5.csv,95371344,90.95,True
AR Drone,Unknown,Unknown,5,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10100_L/10100L_5.csv,103253947,98.47,True
AR Drone,Unknown,Unknown,6,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10111_L/10111L_6.csv,97586674,93.07,True
AR Drone,Unknown,Unknown,6,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10101_L/10101L_6.csv,95342018,90.93,True
AR Drone,Unknown,Unknown,6,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10110_H/10110H_6.csv,94233738,89.87,True
AR Drone,Unknown,Unknown,6,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10100_H/10100H_6.csv,94300349,89.93,True
AR Drone,Unknown,Unknown,6,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10111_H/10111H_6.csv,94334967,89.96,True
AR Drone,Unknown,Unknown,6,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10101_H/10101H_6.csv,94284776,89.92,True
AR Drone,Unknown,Unknown,6,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10110_L/10110L_6.csv,95874927,91.43,True
AR Drone,Unknown,Unknown,6,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10100_L/10100L_6.csv,95430189,91.01,True
AR Drone,Unknown,Unknown,7,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10111_L/10111L_7.csv,96915007,92.43,True
AR Drone,Unknown,Unknown,7,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10101_L/10101L_7.csv,95156565,90.75,True
AR Drone,Unknown,Unknown,7,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10110_H/10110H_7.csv,94272265,89.91,True
AR Drone,Unknown,Unknown,7,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10100_H/10100H_7.csv,94314511,89.95,True
AR Drone,Unknown,Unknown,7,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10111_H/10111H_7.csv,94362507,89.99,True
AR Drone,Unknown,Unknown,7,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10101_H/10101H_7.csv,94279186,89.91,True
AR Drone,Unknown,Unknown,7,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10110_L/10110L_7.csv,95542160,91.12,True
AR Drone,Unknown,Unknown,7,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10100_L/10100L_7.csv,95111656,90.71,True
AR Drone,Unknown,Unknown,8,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10111_L/10111L_8.csv,97823510,93.29,True
AR Drone,Unknown,Unknown,8,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10101_L/10101L_8.csv,96010532,91.56,True
AR Drone,Unknown,Unknown,8,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10110_H/10110H_8.csv,94284017,89.92,True
AR Drone,Unknown,Unknown,8,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10100_H/10100H_8.csv,94317895,89.95,True
AR Drone,Unknown,Unknown,8,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10111_H/10111H_8.csv,94315562,89.95,True
AR Drone,Unknown,Unknown,8,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10101_H/10101H_8.csv,94343785,89.97,True
AR Drone,Unknown,Unknown,8,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10110_L/10110L_8.csv,95305922,90.89,True
AR Drone,Unknown,Unknown,8,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10100_L/10100L_8.csv,96229377,91.77,True
AR Drone,Unknown,Unknown,9,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10111_L/10111L_9.csv,97380436,92.87,True
AR Drone,Unknown,Unknown,9,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10101_L/10101L_9.csv,95331856,90.92,True
AR Drone,Unknown,Unknown,9,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10110_H/10110H_9.csv,94294216,89.93,True
AR Drone,Unknown,Unknown,9,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10100_H/10100H_9.csv,94313550,89.94,True
AR Drone,Unknown,Unknown,9,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10111_H/10111H_9.csv,94262239,89.9,True
AR Drone,Unknown,Unknown,9,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10101_H/10101H_9.csv,94235679,89.87,True
AR Drone,Unknown,Unknown,9,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10110_L/10110L_9.csv,95490608,91.07,True
AR Drone,Unknown,Unknown,9,data/raw/DroneRF/unzipped_data/AR Drone/RF Data_10100_L/10100L_9.csv,95607664,91.18,True
Backround RF activities,Unknown,Unknown,0,data/raw/DroneRF/unzipped_data/Backround RF activities/RF Data_00000_L1/00000L_0.csv,94254774,89.89,True
Backround RF activities,Unknown,Unknown,0,data/raw/DroneRF/unzipped_data/Backround RF activities/RF Data_00000_H1/00000H_0.csv,94325969,89.96,True
Backround RF activities,Unknown,Unknown,1,data/raw/DroneRF/unzipped_data/Backround RF activities/RF Data_00000_L1/00000L_1.csv,94329358,89.96,True
Backround RF activities,Unknown,Unknown,1,data/raw/DroneRF/unzipped_data/Backround RF activities/RF Data_00000_H1/00000H_1.csv,94336452,89.97,True
Backround RF activities,Unknown,Unknown,10,data/raw/DroneRF/unzipped_data/Backround RF activities/RF Data_00000_L1/00000L_10.csv,94380544,90.01,True
Backround RF activities,Unknown,Unknown,10,data/raw/DroneRF/unzipped_data/Backround RF activities/RF Data_00000_H1/00000H_10.csv,94371030,90.0,True
Backround RF activities,Unknown,Unknown,11,data/raw/DroneRF/unzipped_data/Backround RF activities/RF Data_00000_L1/00000L_11.csv,94426043,90.05,True
Backround RF activities,Unknown,Unknown,11,data/raw/DroneRF/unzipped_data/Backround RF activities/RF Data_00000_H1/00000H_11.csv,94327720,89.96,True
Backround RF activities,Unknown,Unknown,12,data/raw/DroneRF/unzipped_data/Backround RF activities/RF Data_00000_L1/00000L_12.csv,94288152,89.92,True
Backround RF activities,Unknown,Unknown,12,data/raw/DroneRF/unzipped_data/Backround RF activities/RF Data_00000_H1/00000H_12.csv,94278344,89.91,True
Backround RF activities,Unknown,Unknown,13,data/raw/DroneRF/unzipped_data/Backround RF activities/RF Data_00000_L1/00000L_13.csv,94287830,89.92,True
Backround RF activities,Unknown,Unknown,13,data/raw/DroneRF/unzipped_data/Backround RF activities/RF Data_00000_H1/00000H_13.csv,94353126,89.98,True
Backround RF activities,Unknown,Unknown,14,data/raw/DroneRF/unzipped_data/Backround RF activities/RF Data_00000_L1/00000L_14.csv,94371003,90.0,True
Backround RF activities,Unknown,Unknown,14,data/raw/DroneRF/unzipped_data/Backround RF activities/RF Data_00000_H1/00000H_14.csv,94342660,89.97,True
Backround RF activities,Unknown,Unknown,15,data/raw/DroneRF/unzipped_data/Backround RF activities/RF Data_00000_L1/00000L_15.csv,94399495,90.03,True
Backround RF activities,Unknown,Unknown,15,data/raw/DroneRF/unzipped_data/Backround RF activities/RF Data_00000_H1/00000H_15.csv,94309512,89.94,True
Backround RF activities,Unknown,Unknown,16,data/raw/DroneRF/unzipped_data/Backround RF activities/RF Data_00000_L1/00000L_16.csv,94325247,89.96,True
Backround RF activities,Unknown,Unknown,16,data/raw/DroneRF/unzipped_data/Backround RF activities/RF Data_00000_H1/00000H_16.csv,94279965,89.91,True
Backround RF activities,Unknown,Unknown,17,data/raw/DroneRF/unzipped_data/Backround RF activities/RF Data_00000_L1/00000L_17.csv,94294759,89.93,True
Backround RF activities,Unknown,Unknown,17,data/raw/DroneRF/unzipped_data/Backround RF activities/RF Data_00000_H1/00000H_17.csv,94615936,90.23,True
Backround RF activities,Unknown,Unknown,18,data/raw/DroneRF/unzipped_data/Backround RF activities/RF Data_00000_L1/00000L_18.csv,94388063,90.02,True
Backround RF activities,Unknown,Unknown,18,data/raw/DroneRF/unzipped_data/Backround RF activities/RF Data_00000_H1/00000H_18.csv,94462282,90.09,True
Backround RF activities,Unknown,Unknown,19,data/raw/DroneRF/unzipped_data/Backround RF activities/RF Data_00000_L1/00000L_19.csv,94362060,89.99,True
Backround RF activities,Unknown,Unknown,19,data/raw/DroneRF/unzipped_data/Backround RF activities/RF Data_00000_H1/00000H_19.csv,94360889,89.99,True
Backround RF activities,Unknown,Unknown,2,data/raw/DroneRF/unzipped_data/Backround RF activities/RF Data_00000_L1/00000L_2.csv,94357871,89.99,True
Backround RF activities,Unknown,Unknown,2,data/raw/DroneRF/unzipped_data/Backround RF activities/RF Data_00000_H1/00000H_2.csv,94323596,89.95,True
Backround RF activities,Unknown,Unknown,20,data/raw/DroneRF/unzipped_data/Backround RF activities/RF Data_00000_L1/00000L_20.csv,94422197,90.05,True
Backround RF activities,Unknown,Unknown,20,data/raw/DroneRF/unzipped_data/Backround RF activities/RF Data_00000_H1/00000H_20.csv,94295694,89.93,True
Backround RF activities,Unknown,Unknown,21,data/raw/DroneRF/unzipped_data/Backround RF activities/RF Data_00000_L2/00000L_21.csv,94403362,90.03,True
Backround RF activities,Unknown,Unknown,21,data/raw/DroneRF/unzipped_data/Backround RF activities/FR Data_00000_H2/00000H_21.csv,94244414,89.88,True
Backround RF activities,Unknown,Unknown,22,data/raw/DroneRF/unzipped_data/Backround RF activities/RF Data_00000_L2/00000L_22.csv,94617039,90.23,True
